比较,序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费,可购全部
,156,006031,南方昌元C,07-01,1.4820,1.4820,0.75%,5.02%,7.05%,4.20%,12.57%,11.05%,-0.74%,-8.52%,12.57%,48.20%,11.05%,0.00%,
,157,002101,创金合信转债,07-01,1.3284,1.4142,0.42%,1.51%,3.32%,3.64%,5.65%,11.04%,2.00%,2.32%,5.65%,41.42%,11.04%,0.08%,
,158,005946,工银可转债优,07-01,1.1962,1.1962,1.17%,2.74%,3.18%,5.14%,6.95%,11.00%,-0.22%,-18.19%,6.95%,19.61%,11.00%,0.00%,
,159,002280,华富安享债券,07-01,1.1249,1.5349,0.39%,1.59%,3.79%,3.04%,6.52%,10.97%,3.40%,-1.60%,6.52%,53.94%,10.97%,0.08%,
,160,007610,汇安嘉诚债券,07-01,1.1242,1.1727,0.38%,1.51%,3.18%,3.62%,7.47%,10.86%,9.15%,6.06%,7.47%,17.80%,10.86%,0.00%,
,161,002102,创金合信转债,07-01,1.3003,1.2699,0.42%,1.51%,3.30%,3.56%,5.49%,10.71%,1.35%,1.37%,5.49%,26.99%,10.71%,0.00%,
,162,519977,长信可转债债,07-01,1.7105,2.6705,0.47%,2.54%,4.78%,3.05%,7.90%,10.65%,2.39%,-4.39%,7.90%,231.18%,10.65%,0.08%,
,163,519976,长信可转债债,07-01,1.6429,2.5499,0.47%,2.53%,4.77%,3.04%,7.87%,10.62%,2.33%,-4.67%,7.87%,208.22%,10.62%,0.00%,
,164,001257,兴业收益增强,07-01,1.4950,1.7460,0.20%,0.47%,1.70%,2.47%,3.60%,10.50%,12.61%,13.27%,3.60%,78.34%,10.50%,0.08%,
,165,000184,工银添福债券,07-01,1.9840,2.1300,0.20%,0.51%,1.43%,3.71%,4.26%,10.47%,14.48%,14.15%,4.26%,117.85%,10.47%,0.08%,
,166,009350,前海联合添泽,07-01,1.1820,1.2320,0.20%,0.72%,1.67%,2.09%,3.40%,10.42%,14.45%,16.93%,3.40%,24.04%,10.42%,0.00%,
,167,009349,前海联合添泽,07-01,1.1980,1.2480,0.20%,0.72%,1.67%,2.09%,3.41%,10.41%,14.44%,17.12%,3.41%,25.64%,10.41%,0.08%,
,168,006482,广发可转债债,07-01,1.6387,1.6387,0.48%,3.29%,4.97%,2.53%,6.76%,10.26%,2.54%,-8.39%,6.76%,63.85%,10.26%,0.10%,
,169,013724,信澳鑫益债券,07-01,1.0965,1.0965,0.18%,0.24%,1.23%,2.29%,4.65%,10.25%,9.87%,9.86%,4.65%,9.65%,10.25%,0.08%,
,170,000185,工银添福债券,07-01,1.9360,2.0810,0.26%,0.52%,1.41%,3.64%,4.14%,10.25%,13.88%,13.15%,4.14%,112.52%,10.25%,0.00%,
,171,000122,汇添富实业债,07-01,1.5068,1.7808,0.21%,0.86%,2.29%,2.55%,4.68%,10.23%,15.64%,18.46%,4.68%,92.38%,10.23%,0.10%,
,172,004486,嘉实稳怡债券,07-01,0.9792,1.1208,0.09%,0.08%,0.59%,4.67%,7.64%,10.22%,-4.86%,-6.46%,7.64%,11.26%,10.22%,0.08%,
,173,006839,安信聚利增强,07-01,1.2254,1.2254,0.25%,0.62%,1.75%,2.36%,3.86%,10.18%,14.37%,12.59%,3.86%,22.54%,10.18%,0.08%,
,174,018595,华商利欣回报,07-01,1.0953,1.0953,0.01%,0.87%,2.03%,2.27%,3.96%,10.18%,---,---,3.96%,9.53%,10.18%,0.08%,
,175,003401,工银可转债债,07-01,1.7443,1.7443,-0.24%,0.12%,1.12%,2.61%,2.73%,10.14%,18.19%,17.79%,2.73%,74.43%,10.14%,0.08%,
,176,009916,格林泓利增强,07-01,1.0098,1.0098,0.00%,0.01%,0.03%,0.09%,0.20%,10.10%,0.32%,-2.23%,0.20%,0.98%,10.10%,0.08%,
,177,001258,兴业收益增强,07-01,1.4430,1.6750,0.28%,0.49%,1.69%,2.41%,3.44%,10.07%,11.76%,12.01%,3.44%,70.62%,10.07%,0.00%,
,178,010630,惠升和睿兴利,07-01,1.0589,1.0589,0.17%,0.16%,0.94%,1.22%,1.52%,10.05%,5.67%,2.82%,1.52%,5.89%,10.05%,0.08%,
,179,010629,广发可转债债,07-01,1.6239,1.6239,0.48%,3.29%,4.95%,2.48%,6.66%,10.04%,2.13%,-8.94%,6.66%,16.72%,10.04%,0.00%,
,180,006840,安信聚利增强,07-01,1.2100,1.2100,0.25%,0.61%,1.73%,2.30%,3.75%,9.95%,13.89%,11.89%,3.75%,21.00%,9.95%,0.00%,
,181,002738,泓德裕康债券,07-01,1.3208,1.4408,0.09%,0.46%,1.10%,2.18%,3.62%,9.89%,7.71%,3.62%,3.62%,47.00%,9.89%,0.08%,
,182,005843,金元顺安沣泉,07-01,1.0813,1.2493,0.27%,1.16%,2.24%,1.52%,4.79%,9.87%,5.61%,6.58%,4.79%,25.82%,9.87%,0.06%,
,183,018596,华商利欣回报,07-01,1.0893,1.0893,0.00%,0.87%,2.00%,2.20%,3.81%,9.85%,---,---,3.81%,8.93%,9.85%,0.00%,
,184,160718,嘉实多利收益,07-01,0.8538,1.6119,0.32%,1.61%,2.99%,3.23%,4.36%,9.84%,10.25%,11.30%,4.36%,87.68%,9.84%,0.08%,
,185,006483,广发可转债债,07-01,1.6335,1.6335,0.48%,3.29%,4.94%,2.43%,6.56%,9.83%,1.72%,-9.48%,6.56%,63.33%,9.83%,0.00%,
,186,008331,万家可转债债,07-01,1.2947,1.2947,0.48%,1.84%,3.66%,3.23%,7.24%,9.83%,7.69%,2.65%,7.24%,29.47%,9.83%,0.08%,
,187,013725,信澳鑫益债券,07-01,1.0817,1.0817,0.19%,0.23%,1.20%,2.18%,4.44%,9.83%,9.02%,8.65%,4.44%,8.17%,9.83%,0.00%,
,188,000123,汇添富实业债,07-01,1.4277,1.7017,0.21%,0.85%,2.25%,2.45%,4.46%,9.78%,14.77%,17.02%,4.46%,82.82%,9.78%,0.00%,
,189,007262,东方红聚利债,07-01,1.4088,1.4088,0.28%,1.02%,1.94%,2.31%,4.29%,9.74%,9.72%,10.10%,4.29%,40.87%,9.74%,0.08%,
,190,002636,广发集裕债券,07-01,1.2990,1.4360,0.15%,1.09%,2.36%,1.48%,4.93%,9.71%,3.34%,1.88%,4.93%,44.26%,9.71%,0.08%,
,191,002459,华夏鼎利债券,07-01,1.3493,1.6463,0.07%,1.15%,1.91%,1.22%,2.53%,9.70%,7.69%,6.39%,2.53%,74.08%,9.70%,0.08%,
,192,070015,嘉实多元债券,07-01,1.3170,2.0820,0.08%,0.23%,0.69%,1.23%,0.77%,9.69%,9.40%,9.40%,0.77%,154.68%,9.69%,0.08%,
,193,010600,光大安瑞一年,07-01,1.1750,1.1750,-0.03%,0.58%,1.28%,0.78%,2.40%,9.69%,9.65%,12.42%,2.40%,17.50%,9.69%,0.08%,
,194,002711,广发集丰债券,07-01,1.1774,1.4415,0.06%,0.36%,0.56%,0.79%,2.01%,9.68%,5.77%,8.06%,2.01%,49.15%,9.68%,0.08%,
,195,003107,光大安祺债券,07-01,1.3147,1.3654,-0.05%,0.64%,1.26%,0.49%,2.53%,9.67%,9.00%,9.07%,2.53%,36.88%,9.67%,0.08%,
,196,050011,博时信用债券,07-01,3.3807,3.4957,0.58%,1.97%,4.95%,6.59%,8.06%,9.65%,13.18%,3.61%,8.06%,271.20%,9.65%,0.08%,
,197,019486,金元顺安沣泉,07-01,1.0688,1.0688,0.27%,1.15%,2.22%,1.47%,4.69%,9.64%,---,---,4.69%,4.11%,9.64%,0.00%,
,198,009917,格林泓利增强,07-01,0.9856,0.9856,0.00%,0.00%,-0.02%,-0.01%,-0.02%,9.63%,-0.79%,-3.84%,-0.02%,-1.44%,9.63%,0.00%,
,199,003197,光大安诚债券,07-01,1.1694,1.2459,0.33%,1.35%,3.93%,-0.41%,3.60%,9.59%,2.21%,-4.60%,3.60%,25.83%,9.59%,0.08%,
,200,002460,华夏鼎利债券,07-01,1.3443,1.6323,0.07%,1.15%,1.89%,1.20%,2.47%,9.58%,7.46%,5.99%,2.47%,72.36%,9.58%,0.00%,
,201,008345,南华瑞泽债券,07-01,1.0491,1.1491,0.33%,1.85%,3.33%,3.42%,6.51%,9.57%,5.55%,-0.46%,6.51%,15.14%,9.57%,0.08%,
,202,010633,惠升和睿兴利,07-01,1.0404,1.0404,0.16%,0.15%,0.90%,1.12%,1.30%,9.56%,4.77%,1.54%,1.30%,4.04%,9.56%,0.00%,
,203,004807,中银证券安弘,07-01,1.3128,1.3128,0.13%,1.23%,3.36%,3.18%,2.71%,9.53%,6.98%,2.12%,2.71%,31.28%,9.53%,0.08%,
,204,070016,嘉实多元债券,07-01,1.3070,2.0190,0.15%,0.23%,0.69%,1.16%,0.69%,9.50%,8.90%,8.55%,0.69%,141.93%,9.50%,0.00%,
,205,002739,泓德裕康债券,07-01,1.2790,1.3990,0.09%,0.45%,1.07%,2.08%,3.42%,9.50%,6.95%,2.53%,3.42%,42.53%,9.50%,0.00%,
,206,007833,长盛稳怡添利,07-01,1.1808,1.2333,0.19%,0.59%,1.36%,1.35%,3.41%,9.49%,10.28%,8.05%,3.41%,23.50%,9.49%,0.08%,
,207,004902,富国丰利增强,07-01,1.3050,1.3630,0.27%,0.95%,2.02%,1.98%,3.28%,9.48%,8.68%,7.15%,3.28%,36.89%,9.48%,0.08%,
,208,021434,融通通福债券,07-01,1.2952,1.5005,0.17%,0.68%,1.50%,2.28%,2.80%,9.48%,---,---,2.80%,9.28%,9.48%,0.08%,
,209,180015,银华增强收益,07-01,1.2501,1.9855,0.18%,0.77%,1.63%,1.72%,3.54%,9.47%,7.23%,6.87%,3.54%,131.71%,9.47%,0.08%,
,210,013214,大摩安盈稳固,07-01,1.1425,1.1425,0.14%,-0.03%,1.04%,2.56%,4.62%,9.42%,13.13%,---,4.62%,14.25%,9.42%,0.08%,
,211,016367,嘉实多利收益,07-01,0.8437,1.0914,0.31%,1.59%,2.95%,3.13%,4.16%,9.42%,9.40%,---,4.16%,9.84%,9.42%,0.00%,
,212,008332,万家可转债债,07-01,1.2682,1.2682,0.48%,1.84%,3.63%,3.13%,7.04%,9.40%,6.84%,1.43%,7.04%,26.82%,9.40%,0.00%,
,213,008475,招商民安增益,07-01,1.2439,1.2439,0.28%,1.88%,2.79%,2.90%,4.27%,9.38%,10.26%,12.01%,4.27%,24.39%,9.38%,0.08%,
,214,013650,华安乾煜债券,07-01,1.1467,1.1467,-0.03%,0.61%,1.35%,1.50%,3.55%,9.38%,9.95%,12.73%,3.55%,14.67%,9.38%,0.08%,
,215,003108,光大安祺债券,07-01,1.2825,1.3325,-0.05%,0.64%,1.23%,0.42%,2.39%,9.34%,8.35%,8.09%,2.39%,33.53%,9.34%,0.00%,
,216,018506,创金合信益久,07-01,1.1051,1.1051,0.03%,0.11%,0.49%,1.54%,1.65%,9.32%,10.75%,---,1.65%,10.51%,9.32%,0.08%,
,217,020177,嘉实双季兴享,07-01,1.1030,1.1030,0.07%,0.09%,0.43%,2.04%,3.52%,9.32%,---,---,3.52%,10.30%,---,0.04%,
,218,007263,东方红聚利债,07-01,1.3763,1.3763,0.28%,1.01%,1.90%,2.21%,4.08%,9.30%,8.85%,8.78%,4.08%,37.62%,9.30%,0.00%,
,219,050111,博时信用债券,07-01,3.2349,3.3319,0.58%,1.96%,4.92%,6.50%,7.87%,9.26%,12.40%,2.50%,7.87%,250.29%,9.26%,0.00%,
,220,003198,光大安诚债券,07-01,1.1594,1.2297,0.34%,1.36%,3.92%,-0.47%,3.44%,9.26%,1.61%,-5.46%,3.44%,23.97%,9.26%,0.00%,
,221,010601,光大安瑞一年,07-01,1.1539,1.1539,-0.03%,0.58%,1.25%,0.69%,2.20%,9.25%,8.78%,11.08%,2.20%,15.39%,9.25%,0.00%,
,222,013548,招商享利增强,07-01,1.0557,1.0557,0.02%,0.29%,1.01%,1.27%,2.00%,9.23%,5.83%,5.48%,2.00%,5.57%,9.23%,0.08%,
,223,163827,中银产业债债,07-01,1.1573,1.5623,0.19%,0.75%,1.64%,1.50%,3.16%,9.22%,9.13%,10.85%,3.16%,67.37%,9.22%,0.08%,
,224,160612,鹏华丰收债券,07-01,1.1040,1.9170,0.09%,0.64%,1.28%,1.28%,2.32%,9.20%,9.74%,3.56%,2.32%,132.01%,9.20%,0.08%,
,225,002637,广发集裕债券,07-01,1.2600,1.3800,0.16%,1.04%,2.27%,1.29%,4.65%,9.19%,2.27%,0.32%,4.65%,38.37%,9.19%,0.00%,
,226,020002,国泰金龙债券,07-01,1.1765,1.9676,0.04%,0.11%,0.75%,0.97%,1.83%,9.18%,11.52%,12.47%,1.83%,147.93%,9.18%,0.08%,
,227,005461,南方希元可转,07-01,1.5074,1.5074,0.47%,2.57%,4.29%,1.15%,7.69%,9.14%,-1.63%,-9.55%,7.69%,50.74%,9.14%,0.08%,
,228,002712,广发集丰债券,07-01,1.1585,1.3977,0.06%,0.35%,0.52%,0.66%,1.77%,9.13%,4.62%,6.43%,1.77%,43.74%,9.13%,0.00%,
,229,004808,中银证券安弘,07-01,1.2844,1.2844,0.13%,1.21%,3.31%,3.07%,2.51%,9.12%,6.21%,1.02%,2.51%,28.44%,9.12%,0.00%,
,230,519733,交银强化回报,07-01,1.2248,1.4328,0.34%,1.73%,3.18%,2.86%,7.14%,9.11%,9.91%,-0.38%,7.14%,47.81%,9.11%,0.08%,
,231,010174,英大智享债券,07-01,1.2528,1.2528,0.05%,0.12%,0.34%,1.39%,4.69%,9.10%,13.05%,20.80%,4.69%,25.27%,9.10%,0.08%,
,232,018491,格林聚合增强,07-01,1.1019,1.1019,-0.08%,0.15%,2.06%,1.53%,3.85%,9.10%,---,---,3.85%,10.18%,9.10%,0.08%,
,233,006618,长江可转债债,07-01,1.4751,1.5451,0.46%,1.98%,3.61%,2.27%,5.29%,9.08%,5.46%,-2.52%,5.29%,54.69%,9.08%,0.08%,
,234,519726,交银稳固收益,07-01,1.2323,1.6894,0.11%,0.66%,1.17%,0.99%,2.23%,9.08%,2.23%,6.27%,2.23%,89.06%,9.08%,0.08%,
,235,018508,创金合信益久,07-01,1.1025,1.1025,0.03%,0.09%,0.45%,1.43%,1.42%,9.07%,10.49%,---,1.42%,10.25%,9.07%,0.00%,
,236,008346,南华瑞泽债券,07-01,1.0291,1.1291,0.33%,1.84%,3.29%,3.32%,6.29%,9.06%,5.02%,-1.35%,6.29%,13.01%,9.06%,0.00%,
,237,010435,富国双债增强,07-01,1.1149,1.1929,0.14%,0.66%,1.67%,1.88%,4.03%,9.04%,7.39%,9.73%,4.03%,20.01%,9.04%,0.08%,
,238,015069,华宝安宜六个,07-01,1.1151,1.1151,0.13%,0.41%,0.93%,1.16%,2.73%,9.03%,9.53%,10.23%,2.73%,11.51%,9.03%,0.08%,
,239,020178,嘉实双季兴享,07-01,1.0997,1.0997,0.07%,0.09%,0.40%,1.98%,3.37%,9.02%,---,---,3.37%,9.97%,---,0.00%,
,240,007834,长盛稳怡添利,07-01,1.1602,1.2062,0.18%,0.58%,1.33%,1.24%,3.20%,9.01%,9.34%,6.72%,3.20%,20.76%,9.01%,0.00%,
,241,009358,兴业稳健双利,07-01,1.0880,1.0880,0.14%,0.42%,2.10%,1.71%,5.27%,8.99%,7.90%,6.50%,5.27%,8.80%,8.99%,0.06%,
,242,016728,华安乾煜债券,07-01,1.1357,1.1357,-0.03%,0.60%,1.32%,1.40%,3.37%,8.98%,9.18%,---,3.37%,12.08%,8.98%,0.00%,
,243,013215,大摩安盈稳固,07-01,1.1290,1.1290,0.12%,-0.04%,1.00%,2.45%,4.41%,8.97%,12.20%,---,4.41%,12.90%,8.97%,0.00%,
,244,018571,华宝安元债券,07-01,1.0967,1.0967,0.05%,0.32%,1.02%,1.13%,3.01%,8.97%,---,---,3.01%,9.67%,8.97%,0.00%,
,245,009730,中信保诚安鑫,07-01,1.1306,1.1306,0.04%,0.11%,0.74%,2.71%,3.44%,8.87%,11.91%,7.34%,3.44%,13.06%,8.87%,0.08%,
,246,018958,富国双债增强,07-01,1.1127,1.1127,0.13%,0.65%,1.66%,1.88%,4.02%,8.87%,---,---,4.02%,5.94%,8.87%,0.00%,
,247,016869,景顺长城稳健,07-01,1.1258,1.1258,0.13%,0.08%,0.97%,2.62%,3.50%,8.83%,10.95%,---,3.50%,12.58%,8.83%,0.08%,
,248,000118,广发聚鑫债券,07-01,1.5789,2.3681,0.01%,0.23%,1.08%,1.47%,3.50%,8.80%,7.72%,9.46%,3.50%,175.76%,8.80%,0.08%,
,249,003275,国联安添利增,07-01,1.3990,1.5270,0.29%,0.92%,2.18%,2.59%,3.71%,8.80%,8.01%,8.53%,3.71%,54.24%,8.80%,0.07%,
,250,020012,国泰金龙债券,07-01,1.1107,1.9075,0.05%,0.11%,0.73%,0.90%,1.65%,8.79%,10.84%,11.40%,1.65%,82.03%,8.79%,0.00%,
,4201,023327,恒生前海福瑞,07-01,1.0041,1.0041,0.00%,0.12%,0.27%,---,---,---,---,---,---,0.41%,0.41%,--,
,4202,023392,景顺长城稳健,07-01,1.1250,1.1250,0.13%,0.08%,0.96%,2.60%,---,---,---,---,---,3.33%,3.33%,0.00%,
,4203,022657,建信丰融债券,07-01,1.0088,1.0088,0.18%,0.21%,0.49%,0.80%,---,---,---,---,---,0.88%,0.88%,0.08%,
,4204,022658,建信丰融债券,07-01,1.0075,1.0075,0.19%,0.20%,0.45%,0.70%,---,---,---,---,---,0.75%,0.75%,0.00%,
,4205,022059,信澳鑫怡债券,07-01,1.0048,1.0048,0.06%,0.10%,0.21%,0.46%,---,---,---,---,---,0.48%,0.48%,0.03%,
,4206,022060,信澳鑫怡债券,07-01,1.0039,1.0039,0.06%,0.09%,0.19%,0.38%,---,---,---,---,---,0.39%,0.39%,0.00%,
,4207,023359,中欧稳添90,07-01,1.0075,1.0075,0.01%,0.03%,0.32%,0.67%,---,---,---,---,---,0.75%,0.75%,0.00%,
,4208,023676,长盛盛和纯债,07-01,1.1022,1.1022,0.05%,0.05%,0.35%,1.12%,---,---,---,---,---,1.57%,1.57%,0.09%,
,4209,023067,安联安裕债券,07-01,0.9993,0.9993,0.03%,0.02%,0.16%,0.01%,---,---,---,---,---,-0.07%,-0.07%,0.00%,
,4210,023357,博道和盈利率,07-01,1.0029,1.0029,0.02%,0.04%,0.21%,---,---,---,---,---,---,0.29%,0.29%,0.00%,
,4211,024489,东吴中短债债,07-01,1.0957,1.0957,0.01%,0.05%,---,---,---,---,---,---,---,0.06%,0.06%,0.00%,
,4212,024490,东吴中短债债,07-01,1.0799,1.0799,0.02%,0.06%,---,---,---,---,---,---,---,0.06%,0.06%,0.00%,
,4213,024387,华安沣信债券,07-01,1.0940,1.0940,-0.02%,0.49%,1.16%,---,---,---,---,---,---,1.16%,1.16%,0.00%,
,4214,024309,东财30天滚,07-01,1.0003,1.0003,0.01%,0.03%,---,---,---,---,---,---,---,0.03%,0.03%,0.00%,
,4215,024308,东财30天滚,07-01,1.0003,1.0003,0.00%,0.03%,---,---,---,---,---,---,---,0.03%,0.03%,0.02%,
,4216,024588,人保鑫利债券,07-01,1.0958,1.0958,0.06%,---,---,---,---,---,---,---,---,0.27%,0.27%,0.00%,
,4217,024649,建信利率债债,07-01,1.1769,1.1769,0.13%,-0.38%,---,---,---,---,---,---,---,-0.38%,-0.38%,0.00%,
,4218,024097,东海锐安短债,07-01,1.0641,1.0641,0.00%,0.04%,---,---,---,---,---,---,---,0.08%,0.08%,0.04%,
,4219,024098,东海锐安短债,07-01,1.0007,1.0007,0.00%,0.03%,---,---,---,---,---,---,---,0.07%,0.07%,0.00%,
,4220,024482,嘉合磐恒债券,07-01,1.0386,1.0386,0.02%,0.06%,---,---,---,---,---,---,---,0.18%,0.18%,0.04%,
,4221,024505,国联恒鑫纯债,07-01,1.0581,1.0581,0.02%,0.03%,---,---,---,---,---,---,---,0.22%,0.22%,0.06%,
,4222,024708,中金恒瑞债券,07-01,1.2031,1.2031,0.01%,---,---,---,---,---,---,---,---,0.01%,0.01%,0.00%,
,4223,024707,中金恒瑞债券,07-01,1.2248,1.2248,0.01%,---,---,---,---,---,---,---,---,0.01%,0.01%,0.06%,
,4224,024508,中信保诚至泰,07-01,1.2444,1.2444,0.02%,0.04%,---,---,---,---,---,---,---,0.31%,0.31%,0.08%,
,4225,024668,中银欣享利率,07-01,1.0378,1.0378,0.04%,---,---,---,---,---,---,---,---,0.03%,0.03%,0.00%,
,4226,023343,惠升和盛纯债,07-01,1.0008,1.0008,0.01%,0.03%,---,---,---,---,---,---,---,0.08%,0.08%,0.08%,
,4227,024101,东海润兴债券,07-01,1.0015,1.0015,0.00%,0.08%,---,---,---,---,---,---,---,0.15%,0.15%,0.00%,
,4228,024209,创金合信创和,07-01,1.0262,1.0262,0.00%,-0.01%,---,---,---,---,---,---,---,0.02%,0.02%,0.00%,
,4229,024208,创金合信创和,07-01,1.0262,1.0262,0.00%,0.00%,---,---,---,---,---,---,---,0.02%,0.02%,0.04%,
,4230,024100,东海润兴债券,07-01,1.0369,1.0369,0.00%,0.08%,---,---,---,---,---,---,---,0.19%,0.19%,0.04%,
,4231,022338,长信稳瑞纯债,07-01,1.0017,1.0017,0.00%,0.04%,0.16%,---,---,---,---,---,---,0.17%,0.17%,0.04%,
,4232,023164,招商安和债券,07-01,1.0777,1.0777,0.12%,0.10%,0.60%,1.26%,---,---,---,---,---,0.82%,0.82%,0.00%,
,4233,024704,中银增利债券,07-01,1.1883,1.1883,0.08%,0.33%,---,---,---,---,---,---,---,0.41%,0.41%,0.08%,
,4234,024181,泰信双息双利,07-01,1.1033,1.1033,0.14%,0.57%,---,---,---,---,---,---,---,0.70%,0.70%,0.06%,
,4235,022313,惠升和荣90,07-01,1.0089,1.0089,0.01%,0.00%,0.35%,0.83%,---,---,---,---,---,0.89%,0.89%,0.03%,
,4236,024206,长信利鑫债券,07-01,0.6618,0.6618,0.09%,0.20%,0.59%,---,---,---,---,---,---,0.59%,0.59%,0.00%,
,4237,024488,东吴中短债债,07-01,1.0897,1.0897,0.01%,0.06%,---,---,---,---,---,---,---,0.07%,0.07%,0.04%,
